crop_cover,plot,subplot_point,date,jdate,year,month,treatment,block_no,block_ns,crop_year,crop_cash,nutrient,value,year_date
pennycress,1,1,2021-03-04,063,2021,3,Pennycress,1,north,2020_2021,corn,no3_mgl,36.8,2021_063
pennycress,1,1,2021-03-04,063,2021,3,Pennycress,1,north,2020_2021,corn,nh3_mgl,1.242,2021_063
pennycress,1,1,2021-03-04,063,2021,3,Pennycress,1,north,2020_2021,corn,drp_ugl,268,2021_063
pennycress,2,2,2021-03-04,063,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,21.6,2021_063
pennycress,2,2,2021-03-04,063,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.0624,2021_063
pennycress,2,2,2021-03-04,063,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,68.2,2021_063
pennycress,2,3,2021-03-04,063,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,10.84,2021_063
pennycress,2,3,2021-03-04,063,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.0274,2021_063
pennycress,2,3,2021-03-04,063,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,24.2,2021_063
pennycress,3,2,2021-03-04,063,2021,3,Pennycress_N,2,north,2020_2021,corn,no3_mgl,34.6,2021_063
pennycress,3,2,2021-03-04,063,2021,3,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.00575,2021_063
pennycress,3,2,2021-03-04,063,2021,3,Pennycress_N,2,north,2020_2021,corn,drp_ugl,190,2021_063
pennycress,3,4,2021-03-04,063,2021,3,Pennycress_N,2,north,2020_2021,corn,no3_mgl,9.85,2021_063
pennycress,3,4,2021-03-04,063,2021,3,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.00465,2021_063
pennycress,3,4,2021-03-04,063,2021,3,Pennycress_N,2,north,2020_2021,corn,drp_ugl,50.6,2021_063
pennycress,4,2,2021-03-04,063,2021,3,Pennycress,1,mid,2020_2021,corn,no3_mgl,25.8,2021_063
pennycress,4,2,2021-03-04,063,2021,3,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.00416,2021_063
pennycress,4,2,2021-03-04,063,2021,3,Pennycress,1,mid,2020_2021,corn,drp_ugl,233,2021_063
pennycress,5,1,2021-03-04,063,2021,3,Pennycress_N,2,mid,2020_2021,corn,no3_mgl,8.27,2021_063
pennycress,5,1,2021-03-04,063,2021,3,Pennycress_N,2,mid,2020_2021,corn,nh3_mgl,0.0774,2021_063
pennycress,5,1,2021-03-04,063,2021,3,Pennycress_N,2,mid,2020_2021,corn,drp_ugl,91.1,2021_063
pennycress,6,2,2021-03-04,063,2021,3,Reference,2,mid,2020_2021,corn,no3_mgl,24.6,2021_063
pennycress,6,2,2021-03-04,063,2021,3,Reference,2,mid,2020_2021,corn,nh3_mgl,0.0154,2021_063
pennycress,6,2,2021-03-04,063,2021,3,Reference,2,mid,2020_2021,corn,drp_ugl,194,2021_063
pennycress,6,3,2021-03-04,063,2021,3,Reference,2,mid,2020_2021,corn,no3_mgl,18.9,2021_063
pennycress,6,3,2021-03-04,063,2021,3,Reference,2,mid,2020_2021,corn,nh3_mgl,0.00433,2021_063
pennycress,6,3,2021-03-04,063,2021,3,Reference,2,mid,2020_2021,corn,drp_ugl,244,2021_063
pennycress,7,3,2021-03-04,063,2021,3,Reference,3,south,2020_2021,corn,no3_mgl,19.8,2021_063
pennycress,7,3,2021-03-04,063,2021,3,Reference,3,south,2020_2021,corn,nh3_mgl,0.00361,2021_063
pennycress,7,3,2021-03-04,063,2021,3,Reference,3,south,2020_2021,corn,drp_ugl,3.52,2021_063
pennycress,9,1,2021-03-04,063,2021,3,Pennycress_N,3,south,2020_2021,corn,no3_mgl,15.6,2021_063
pennycress,9,1,2021-03-04,063,2021,3,Pennycress_N,3,south,2020_2021,corn,nh3_mgl,0.00676,2021_063
pennycress,9,1,2021-03-04,063,2021,3,Pennycress_N,3,south,2020_2021,corn,drp_ugl,13.1,2021_063
pennycress,1,1,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,no3_mgl,27,2021_079
