date,crop_year,year,month,season,block_no,block_ns,treatment,plot,season_orig,subplot_point,variable,value
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_no3_n_ppm,16
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_nh4_n_ppm,5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_om_loi_pct,6.85
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_p_ppm,83.3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_k_ppm,190
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_ca_ppm,5020
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_ph,6.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_mg_ppm,639.4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_cec_meq_100g,31.55
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_ca_ppm_base_satpct,79.57
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_mg_ppm_base_satpct,16.89
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_k_ppm_base_satpct,1.54
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_h_ppm_base_satpct,2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_s_ppm,26.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_zn_ppm,20.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_b_ppm,1.3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_fe_ppm,157.4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_mn_ppm,42.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_cu_ppm,4.1
