PRISM Time Series Data
Location:  Lat: 40.6765   Lon: -88.7846   Elev: 222m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2019-01-01 - 2022-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jan-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2019-01-01,19.38,0.0,2.5,5.0,2.4,0.02,0.53
2019-01-02,0.00,-1.7,-0.6,0.6,-1.3,0.04,0.58
2019-01-03,0.00,-4.4,-2.6,-0.7,-3.5,0.14,1.00
2019-01-04,0.00,-4.3,0.3,4.8,-2.1,0.20,2.88
2019-01-05,0.00,-2.5,3.8,10.2,-0.4,0.14,6.61
2019-01-06,0.00,-0.9,5.6,12.1,2.1,0.11,5.57
2019-01-07,0.07,0.4,4.8,9.2,3.5,0.24,2.88
2019-01-08,3.26,2.7,8.7,14.6,7.2,0.14,3.61
2019-01-09,0.00,-6.4,0.8,8.1,-3.5,0.42,5.52
2019-01-10,0.00,-9.8,-6.9,-3.9,-11.7,0.50,2.07
2019-01-11,0.00,-9.4,-5.8,-2.2,-10.2,0.35,2.51
2019-01-12,7.26,-7.5,-4.1,-0.7,-4.7,0.12,1.68
2019-01-13,11.03,-3.4,-2.1,-0.9,-2.6,0.07,0.73
2019-01-14,0.00,-14.8,-7.6,-0.5,-7.8,0.10,1.50
2019-01-15,0.00,-13.9,-7.8,-1.8,-7.8,0.05,0.97
2019-01-16,0.00,-3.4,-1.3,0.7,-2.0,0.05,0.79
2019-01-17,0.73,-1.8,0.1,2.0,-2.1,0.07,2.04
2019-01-18,0.24,-2.3,-0.6,1.1,-1.3,0.00,0.92
2019-01-19,4.23,-2.5,-0.9,0.7,-2.4,0.07,1.53
2019-01-20,0.00,-14.9,-8.5,-2.0,-9.2,0.12,0.95
2019-01-21,0.00,-21.2,-15.8,-10.4,-19.2,0.21,1.11
2019-01-22,0.00,-19.4,-12.7,-6.0,-15.3,0.27,1.46
2019-01-23,23.30,-6.3,-1.9,2.5,-1.9,0.00,1.59
2019-01-24,0.54,-11.7,-4.8,2.1,-7.7,0.05,0.83
2019-01-25,0.00,-19.7,-11.9,-4.1,-14.8,0.20,1.18
2019-01-26,2.09,-25.0,-17.7,-10.3,-17.8,0.12,0.94
2019-01-27,1.05,-25.0,-16.3,-7.6,-16.3,0.12,0.68
2019-01-28,2.52,-19.2,-9.0,1.2,-13.6,0.17,1.31
2019-01-29,0.00,-17.0,-7.0,2.9,-10.6,0.17,1.15
2019-01-30,0.00,-29.2,-20.5,-11.7,-23.6,0.22,1.16
