PRISM Time Series Data
Location:  Lat: 40.6756   Lon: -88.7825   Elev: 220m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jan-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
January,54.18,-8.9,-4.3,0.3,-6.9,0.24,2.13
February,46.32,-7.0,-2.0,2.9,-5.4,0.30,3.15
March,65.17,-1.7,4.0,9.7,-0.9,0.49,6.51
April,90.33,4.2,10.7,17.2,3.8,1.02,11.86
May,111.37,10.7,17.0,23.3,10.2,1.38,16.92
June,101.81,16.1,22.0,28.0,15.6,1.63,20.55
July,96.49,17.8,23.7,29.5,18.4,1.20,20.07
August,85.26,16.6,22.6,28.6,17.6,0.85,18.82
September,81.76,12.1,18.9,25.7,13.0,0.82,18.77
October,82.61,5.9,12.2,18.6,6.4,0.75,12.43
November,65.12,-0.3,4.9,10.1,0.7,0.49,5.81
December,51.84,-5.6,-1.2,3.2,-3.9,0.27,2.71
Annual,932.27,5.0,10.7,16.4,5.7,0.79,11.64
