id,ovicup,date_pupation,week_pupation,date_eclosed,day_differential,week_eclosed,sex,species,pupa_died,date_pupa_death,notes
189,t30,7/19/2021,30,na,na,30,m,aeg,no,,need to check when 189 eclosed???; changed eclosion week to pupation week as an estimation for eclosion
1,t10,6/10/2021,24,6/12/2021,2,24,f,cx_quink,no,,
5,t26,na,25,6/14/2021,na,25,f,aeg,no,,
4,t30,6/14/2021,25,6/15/2021,1,25,m,aeg,no,,
2,t30,6/14/2021,25,6/16/2021,2,25,m,aeg,no,,
3,t30,6/14/2021,25,6/16/2021,2,25,m,aeg,no,,
6,t10,6/16/2021,25,6/17/2021,1,25,m,cx_quink,no,,
7,t30,6/16/2021,25,6/17/2021,1,25,f,aeg,no,,
8,t30,6/16/2021,25,6/17/2021,1,25,f,aeg,no,,
9,t30,6/16/2021,25,6/17/2021,1,25,m,aeg,no,,
20,t24,6/20/2021,26,6/20/2021,0,26,m,aeg,no,,
10,t30,6/20/2021,26,6/21/2021,1,26,m,aeg,no,,
12,t30,6/20/2021,26,6/21/2021,1,26,f,aeg,no,,
14,t30,6/20/2021,26,6/21/2021,1,26,f,aeg,no,,
11,t30,6/20/2021,26,6/22/2021,2,26,f,aeg,no,,
13,t30,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
15,t30,6/20/2021,26,6/22/2021,2,26,f,aeg,no,,
16,t30,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
18,t30,6/20/2021,26,6/22/2021,2,26,f,aeg,no,,
19,t24,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
21,t24,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
22,t24,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
23,t24,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
24,covi_4,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
25,covi_4,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
26,covi_4,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
27,covi_4,6/20/2021,26,6/22/2021,2,26,m,aeg,no,,
46,t30,na,26,6/23/2021,na,26,m,aeg,no,,
47,t30,na,26,6/23/2021,na,26,m,aeg,no,,
48,covi_4,na,26,6/23/2021,na,26,m,aeg,no,,
49,t33,na,26,6/23/2021,na,26,m,aeg,no,,
28,t39,6/20/2021,26,6/23/2021,3,26,f,aeg,no,,
31,t24,6/23/2021,26,6/23/2021,0,26,f,aeg,no,,
29,t30,6/23/2021,26,6/24/2021,1,26,m,aeg,no,,
32,t33,6/23/2021,26,6/24/2021,1,26,f,aeg,no,,
30,t30,6/23/2021,26,6/25/2021,2,26,f,aeg,no,,
33,tovi_5,6/23/2021,26,6/25/2021,2,26,m,aeg,no,,
36,t30,6/23/2021,26,6/25/2021,2,26,f,aeg,no,,
50,t30,6/23/2021,26,6/25/2021,2,26,m,aeg,no,,
34,covi_4,6/23/2021,26,6/27/2021,4,27,f,aeg,no,,
38,c6,6/24/2021,26,6/27/2021,3,27,m,aeg,no,,
39,c6,6/24/2021,26,6/27/2021,3,27,m,aeg,no,,
40,t39,6/25/2021,26,6/27/2021,2,27,f,aeg,no,,
41,t30,6/25/2021,26,6/27/2021,2,27,f,aeg,no,,
42,c6,6/25/2021,26,6/27/2021,2,27,f,aeg,no,,
43,tovi_5,6/25/2021,26,6/27/2021,2,27,f,aeg,no,,
